Sector,Year,Emissions
Emissions.Sector.Buildings,1970,2914.82
Emissions.Sector.Buildings,1971,2926.7799999999997
Emissions.Sector.Buildings,1972,3037.04
Emissions.Sector.Buildings,1973,3097.89
Emissions.Sector.Buildings,1974,3015.94
Emissions.Sector.Buildings,1975,3088.43
Emissions.Sector.Buildings,1976,3213.86
Emissions.Sector.Buildings,1977,3231.16
Emissions.Sector.Buildings,1978,3336.7
Emissions.Sector.Buildings,1979,3376.55
Emissions.Sector.Buildings,1980,3225.33
Emissions.Sector.Buildings,1981,3163.68
Emissions.Sector.Buildings,1982,3146.88
Emissions.Sector.Buildings,1983,3156.2
Emissions.Sector.Buildings,1984,3263.96
Emissions.Sector.Buildings,1985,3343.13
Emissions.Sector.Buildings,1986,3359.96
Emissions.Sector.Buildings,1987,3418.33
Emissions.Sector.Buildings,1988,3487.45
Emissions.Sector.Buildings,1989,3419.06
Emissions.Sector.Buildings,1990,3326.41
Emissions.Sector.Buildings,1991,3346.81
Emissions.Sector.Buildings,1992,3154.6400000000003
Emissions.Sector.Buildings,1993,3227.84
Emissions.Sector.Buildings,1994,3120.04
Emissions.Sector.Buildings,1995,3149.42
Emissions.Sector.Buildings,1996,3154.38
Emissions.Sector.Buildings,1997,3160.73
Emissions.Sector.Buildings,1998,2985.23
Emissions.Sector.Buildings,1999,3067.02
Emissions.Sector.Buildings,2000,3017.67
Emissions.Sector.Buildings,2001,3053.52
Emissions.Sector.Buildings,2002,3046.25
Emissions.Sector.Buildings,2003,3147.26
Emissions.Sector.Buildings,2004,3228.15
Emissions.Sector.Buildings,2005,3259.86
Emissions.Sector.Buildings,2006,3230.36
Emissions.Sector.Buildings,2007,3225.6
Emissions.Sector.Buildings,2008,3289.6
Emissions.Sector.Buildings,2009,3257.35
Emissions.Sector.Buildings,2010,3300.63
Emissions.Sector.Buildings,2011,3232.7
Emissions.Sector.Buildings,2012,3237.57
Emissions.Sector.Other Industry,1970,4522.05
Emissions.Sector.Other Industry,1971,4253.99
Emissions.Sector.Other Industry,1972,4390.099999999999
Emissions.Sector.Other Industry,1973,4666.42
Emissions.Sector.Other Industry,1974,4675.95
Emissions.Sector.Other Industry,1975,4502.41
Emissions.Sector.Other Industry,1976,4713.41
Emissions.Sector.Other Industry,1977,4919.57
Emissions.Sector.Other Industry,1978,5051.34
Emissions.Sector.Other Industry,1979,5252.88
Emissions.Sector.Other Industry,1980,5143.15
Emissions.Sector.Other Industry,1981,4978.650000000001
Emissions.Sector.Other Industry,1982,4844.17
Emissions.Sector.Other Industry,1983,4756.71
Emissions.Sector.Other Industry,1984,4913.76
Emissions.Sector.Other Industry,1985,4877.61
Emissions.Sector.Other Industry,1986,4889.22
Emissions.Sector.Other Industry,1987,5053.01
Emissions.Sector.Other Industry,1988,5220.79
Emissions.Sector.Other Industry,1989,5244.76
Emissions.Sector.Other Industry,1990,4940.35
Emissions.Sector.Other Industry,1991,4845.46
Emissions.Sector.Other Industry,1992,4727.18
Emissions.Sector.Other Industry,1993,4702.64
Emissions.Sector.Other Industry,1994,4741.360000000001
Emissions.Sector.Other Industry,1995,5000.81
Emissions.Sector.Other Industry,1996,4911.22
Emissions.Sector.Other Industry,1997,4990.69
Emissions.Sector.Other Industry,1998,5030.04
Emissions.Sector.Other Industry,1999,4851.44
Emissions.Sector.Other Industry,2000,5045.35
Emissions.Sector.Other Industry,2001,5116.5599999999995
Emissions.Sector.Other Industry,2002,5168.179999999999
Emissions.Sector.Other Industry,2003,5416.650000000001
Emissions.Sector.Other Industry,2004,5867.07
Emissions.Sector.Other Industry,2005,6143.95
Emissions.Sector.Other Industry,2006,6439.9400000000005
Emissions.Sector.Other Industry,2007,6841.389999999999
Emissions.Sector.Other Industry,2008,7002.91
Emissions.Sector.Other Industry,2009,6931.5
Emissions.Sector.Other Industry,2010,7472.55
Emissions.Sector.Other Industry,2011,7758.22
Emissions.Sector.Other Industry,2012,7677.650000000001
Emissions.Sector.Other sectors,1970,1876.81
Emissions.Sector.Other sectors,1971,1881.72
Emissions.Sector.Other sectors,1972,1985.3899999999999
Emissions.Sector.Other sectors,1973,2110.85
Emissions.Sector.Other sectors,1974,2074.78
Emissions.Sector.Other sectors,1975,1947.28
Emissions.Sector.Other sectors,1976,2097.83
Emissions.Sector.Other sectors,1977,2104.26
Emissions.Sector.Other sectors,1978,2274.69
Emissions.Sector.Other sectors,1979,2301.0
Emissions.Sector.Other sectors,1980,2238.4900000000002
Emissions.Sector.Other sectors,1981,2117.93
Emissions.Sector.Other sectors,1982,2070.57
Emissions.Sector.Other sectors,1983,2089.28
Emissions.Sector.Other sectors,1984,2130.48
Emissions.Sector.Other sectors,1985,2128.23
Emissions.Sector.Other sectors,1986,2144.16
Emissions.Sector.Other sectors,1987,2170.92
Emissions.Sector.Other sectors,1988,2274.34
Emissions.Sector.Other sectors,1989,2294.08
Emissions.Sector.Other sectors,1990,2162.12
Emissions.Sector.Other sectors,1991,2162.18
Emissions.Sector.Other sectors,1992,2140.25
Emissions.Sector.Other sectors,1993,2128.15
Emissions.Sector.Other sectors,1994,2303.69
Emissions.Sector.Other sectors,1995,2378.88
Emissions.Sector.Other sectors,1996,2376.34
Emissions.Sector.Other sectors,1997,2429.52
Emissions.Sector.Other sectors,1998,2378.07
Emissions.Sector.Other sectors,1999,2431.88
Emissions.Sector.Other sectors,2000,2554.11
Emissions.Sector.Other sectors,2001,2513.7400000000002
Emissions.Sector.Other sectors,2002,2562.47
Emissions.Sector.Other sectors,2003,2761.1
Emissions.Sector.Other sectors,2004,2885.96
Emissions.Sector.Other sectors,2005,3005.05
Emissions.Sector.Other sectors,2006,3171.79
Emissions.Sector.Other sectors,2007,3309.1499999999996
Emissions.Sector.Other sectors,2008,3287.07
Emissions.Sector.Other sectors,2009,3340.9700000000003
Emissions.Sector.Other sectors,2010,3487.79
Emissions.Sector.Other sectors,2011,3678.4700000000003
Emissions.Sector.Other sectors,2012,3863.16
Emissions.Sector.Power Industry,1970,3682.03
Emissions.Sector.Power Industry,1971,3766.36
Emissions.Sector.Power Industry,1972,4028.6800000000003
Emissions.Sector.Power Industry,1973,4358.88
Emissions.Sector.Power Industry,1974,4436.21
Emissions.Sector.Power Industry,1975,4501.62
Emissions.Sector.Power Industry,1976,4877.0
Emissions.Sector.Power Industry,1977,5073.29
Emissions.Sector.Power Industry,1978,5215.17
Emissions.Sector.Power Industry,1979,5421.650000000001
Emissions.Sector.Power Industry,1980,5559.7
Emissions.Sector.Power Industry,1981,5542.65
Emissions.Sector.Power Industry,1982,5547.72
Emissions.Sector.Power Industry,1983,5706.75
Emissions.Sector.Power Industry,1984,5903.59
Emissions.Sector.Power Industry,1985,6045.599999999999
Emissions.Sector.Power Industry,1986,6201.5199999999995
Emissions.Sector.Power Industry,1987,6481.66
Emissions.Sector.Power Industry,1988,6704.68
Emissions.Sector.Power Industry,1989,6997.71
Emissions.Sector.Power Industry,1990,7629.8099999999995
Emissions.Sector.Power Industry,1991,7771.92
Emissions.Sector.Power Industry,1992,7915.94
Emissions.Sector.Power Industry,1993,7940.24
Emissions.Sector.Power Industry,1994,8018.0
Emissions.Sector.Power Industry,1995,8178.66
Emissions.Sector.Power Industry,1996,8517.28
Emissions.Sector.Power Industry,1997,8636.42
Emissions.Sector.Power Industry,1998,8797.72
Emissions.Sector.Power Industry,1999,8878.75
Emissions.Sector.Power Industry,2000,9306.07
Emissions.Sector.Power Industry,2001,9505.65
Emissions.Sector.Power Industry,2002,9728.5
Emissions.Sector.Power Industry,2003,10291.539999999999
Emissions.Sector.Power Industry,2004,10659.71
Emissions.Sector.Power Industry,2005,11151.46
Emissions.Sector.Power Industry,2006,11598.07
Emissions.Sector.Power Industry,2007,12089.23
Emissions.Sector.Power Industry,2008,12020.45
Emissions.Sector.Power Industry,2009,11818.3
Emissions.Sector.Power Industry,2010,12654.34
Emissions.Sector.Power Industry,2011,13211.32
Emissions.Sector.Power Industry,2012,13409.61
Emissions.Sector.Transport,1970,2278.8
Emissions.Sector.Transport,1971,2358.4300000000003
Emissions.Sector.Transport,1972,2500.37
Emissions.Sector.Transport,1973,2646.85
Emissions.Sector.Transport,1974,2649.06
Emissions.Sector.Transport,1975,2763.03
Emissions.Sector.Transport,1976,2883.5899999999997
Emissions.Sector.Transport,1977,2990.05
Emissions.Sector.Transport,1978,3128.17
Emissions.Sector.Transport,1979,3175.99
Emissions.Sector.Transport,1980,3137.79
Emissions.Sector.Transport,1981,3151.2000000000003
Emissions.Sector.Transport,1982,3144.6800000000003
Emissions.Sector.Transport,1983,3196.91
Emissions.Sector.Transport,1984,3289.79
Emissions.Sector.Transport,1985,3338.0499999999997
Emissions.Sector.Transport,1986,3439.39
Emissions.Sector.Transport,1987,3568.0099999999998
Emissions.Sector.Transport,1988,3734.1
Emissions.Sector.Transport,1989,3844.88
Emissions.Sector.Transport,1990,3975.14
Emissions.Sector.Transport,1991,4012.34
Emissions.Sector.Transport,1992,4082.4
Emissions.Sector.Transport,1993,4131.41
Emissions.Sector.Transport,1994,4199.31
Emissions.Sector.Transport,1995,4306.64
Emissions.Sector.Transport,1996,4493.110000000001
Emissions.Sector.Transport,1997,4545.17
Emissions.Sector.Transport,1998,4641.63
Emissions.Sector.Transport,1999,4762.87
Emissions.Sector.Transport,2000,4908.45
Emissions.Sector.Transport,2001,4972.19
Emissions.Sector.Transport,2002,5073.11
Emissions.Sector.Transport,2003,5199.21
Emissions.Sector.Transport,2004,5395.64
Emissions.Sector.Transport,2005,5483.44
Emissions.Sector.Transport,2006,5576.13
Emissions.Sector.Transport,2007,5734.49
Emissions.Sector.Transport,2008,5736.25
Emissions.Sector.Transport,2009,5659.07
Emissions.Sector.Transport,2010,5874.3099999999995
Emissions.Sector.Transport,2011,5977.08
Emissions.Sector.Transport,2012,6160.7300000000005
